종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"152380","KODEX 국채선물10년","68840","-290","-0.42","68874.09","69085","69085","68840","744","51275115","21065040000","0","306000","10년국채선물지수","1323.47","-7.78","-0.58"
"176950","KODEX 국채선물10년인버스","47635","190","0.40","47636.37","47570","47680","47570","714","33987300","11432400000","0","240000","10년국채선물지수","1323.47","-7.78","-0.58"
"292770","KODEX 국채선물3년인버스","50065","0","0.00","50069.73","0","0","0","0","0","5106630000","0","102000","국채선물지수","1262.51","-1.05","-0.08"
"276990","KODEX 글로벌4차산업로보틱스(합성)","19870","-30","-0.15","19779.00","19780","19870","19635","6656","131220745","21380120000","0","1076000","ROBO Global Robotics & Automation UCITS Price Return Index","1141.99","-4.28","-0.37"
"102960","KODEX 기계장비","5610","-35","-0.62","5609.74","5635","5635","5595","10222","57326745","15147000000","0","2700000","KRX 기계장비","596.15","-3.55","-0.59"
"352560","KODEX 다우존스미국리츠(H)","15840","-30","-0.19","15915.30","15950","15950","15840","58076","922949465","20592000000","0","1300000","Dow Jones U.S. Real Estate PR Index","453.04","1.23","0.27"
"273140","KODEX 단기변동금리부채권액티브","102910","10","0.01","102905.56","102905","102910","102905","1006","103527430","114024280000","0","1108000","KAP 단기변동금리부은행채권지수","128.44","0.01","0.01"
"153130","KODEX 단기채권","103110","-5","0.00","103105.37","103105","103110","103105","7463","769501020","1584800700000","0","15370000","KRW Cash 지수(총수익)","154.23","0.00","0.00"
"214980","KODEX 단기채권PLUS","103435","0","0.00","103434.20","103440","103440","103430","7905","817640550","1168298325000","0","11295000","KRW Cash PLUS 지수(총수익)","147.95","0.00","0.00"
"122630","KODEX 레버리지","23870","-295","-1.22","23999.96","24230","24355","23805","14075485","338085376240","1599290000000","0","67000000","코스피 200","394.19","-2.53","-0.64"
"321410","KODEX 멀티에셋하이인컴(H)","10965","-135","-1.22","11019.92","10960","11070","10960","3619","39673090","5482500000","0","500000","Morningstar Multi-Asset High Income 10% Capped Index","1206.07","3.29","0.27"
"244620","KODEX 모멘텀Plus","13350","75","0.56","13376.33","13255","13390","13255","1589","21153370","12015000000","0","900000","FnGuide 모멘텀 Plus 지수","4247.07","18.58","0.44"
"314250","KODEX 미국FANG플러스(H)","29365","-240","-0.81","29357.16","29310","29460","29260","73506","2157098020","505078000000","0","17200000","NYSE FANG+TM Index","7524.28","103.13","1.39"
"379800","KODEX 미국S&P500TR","12560","10","0.08","12569.35","12540","12565","12495","317000","3970507335","244920000000","0","19500000","S&P 500 Total Return Index","10012.51","-29.10","-0.29"
"219480","KODEX 미국S&P500선물(H)","23095","-30","-0.13","23106.21","23095","23125","23065","179391","4142680075","152427000000","0","6600000","S&P 500 Futures Total Return Index","693.82","-1.78","-0.26"
